entry_time,exit_time,direction,entry,sl,target,exit_price,pnl_pts,pnl_rs,result
2026-05-19 10:15:00+05:30,2026-05-19 11:15:00+05:30,LONG,23723.5,23686.9,23796.7,23686.9,-36.6,-2379.0,SL
2026-05-19 11:40:00+05:30,2026-05-19 13:35:00+05:30,LONG,23720.9,23695.0,23772.7,23695.0,-25.9,-1683.5,SL
2026-05-19 14:15:00+05:30,2026-05-19 14:40:00+05:30,LONG,23726.2,23675.3,23828.0,23675.3,-50.9,-3308.5,SL
2026-05-20 09:25:00+05:30,2026-05-20 11:20:00+05:30,LONG,23456.0,23386.6,23594.8,23594.8,138.8,9022.0,TARGET
2026-05-21 09:25:00+05:30,2026-05-21 11:15:00+05:30,SHORT,23765.0,23837.3,23620.4,23620.4,144.6,9399.0,TARGET
2026-05-22 09:25:00+05:30,2026-05-22 11:40:00+05:30,LONG,23725.0,23675.1,23824.8,23824.8,99.8,6487.0,TARGET
2026-05-25 09:25:00+05:30,2026-05-25 15:20:00+05:30,LONG,23990.0,23910.0,24150.0,24075.0,85.0,5525.0,EOD_CLOSE
2026-05-26 10:00:00+05:30,2026-05-26 10:10:00+05:30,SHORT,24030.3,24060.0,23970.9,24060.0,-29.7,-1930.5,SL
2026-05-26 11:30:00+05:30,2026-05-26 11:35:00+05:30,SHORT,24041.2,24067.0,23989.6,24067.0,-25.8,-1677.0,SL
2026-05-26 12:05:00+05:30,2026-05-26 13:15:00+05:30,SHORT,24029.8,24060.0,23969.4,23969.4,60.4,3926.0,TARGET
2026-05-27 09:25:00+05:30,2026-05-27 15:20:00+05:30,LONG,23991.7,23900.0,24175.1,24002.3,10.6,689.0,EOD_CLOSE
2026-05-29 09:30:00+05:30,2026-05-29 10:20:00+05:30,SHORT,24013.4,24055.6,23929.0,24055.6,-42.2,-2743.0,SL
2026-05-29 10:45:00+05:30,2026-05-29 11:50:00+05:30,SHORT,24011.7,24034.3,23966.5,24034.3,-22.6,-1469.0,SL
2026-06-01 11:00:00+05:30,2026-06-01 11:25:00+05:30,LONG,23665.0,23631.0,23733.0,23631.0,-34.0,-2210.0,SL
2026-06-02 09:25:00+05:30,2026-06-02 12:40:00+05:30,LONG,23347.8,23286.0,23471.4,23471.4,123.6,8034.0,TARGET
2026-06-03 09:25:00+05:30,2026-06-03 13:45:00+05:30,SHORT,23351.0,23511.0,23031.0,23511.0,-160.0,-10400.0,SL
2026-06-04 12:50:00+05:30,2026-06-04 12:55:00+05:30,SHORT,23436.9,23465.0,23380.7,23465.0,-28.1,-1826.5,SL
2026-06-04 13:20:00+05:30,2026-06-04 14:00:00+05:30,SHORT,23380.0,23466.7,23206.6,23466.7,-86.7,-5635.5,SL
2026-06-04 14:10:00+05:30,2026-06-04 15:20:00+05:30,LONG,23480.0,23430.5,23579.0,23516.3,36.3,2359.5,EOD_CLOSE
2026-06-05 09:25:00+05:30,2026-06-05 10:05:00+05:30,SHORT,23515.0,23565.0,23415.0,23565.0,-50.0,-3250.0,SL
2026-06-05 10:40:00+05:30,2026-06-05 10:45:00+05:30,SHORT,23496.0,23542.5,23403.0,23403.0,93.0,6045.0,TARGET
2026-06-05 11:10:00+05:30,2026-06-05 11:20:00+05:30,LONG,23530.0,23466.0,23658.0,23466.0,-64.0,-4160.0,SL
2026-06-05 12:20:00+05:30,2026-06-05 12:30:00+05:30,LONG,23519.0,23475.0,23607.0,23475.0,-44.0,-2860.0,SL
2026-06-05 12:40:00+05:30,2026-06-05 13:10:00+05:30,SHORT,23475.0,23507.3,23410.4,23410.4,64.6,4199.0,TARGET
2026-06-08 09:25:00+05:30,2026-06-08 12:40:00+05:30,LONG,23212.0,23166.0,23304.0,23304.0,92.0,5980.0,TARGET
2026-06-08 13:50:00+05:30,2026-06-08 15:20:00+05:30,SHORT,23235.0,23274.2,23156.6,23162.0,73.0,4745.0,EOD_CLOSE
2026-06-09 09:25:00+05:30,2026-06-09 10:20:00+05:30,LONG,23260.9,23220.0,23342.7,23220.0,-40.9,-2658.5,SL
